VehicleSpeed[km/h],EngineSpeed[rpm],EngineFuelRate[L/h],grad[%],time[s],acc[m/s^2],W[kg],EngineFuelRate[g/h],predit_gear_position,i_m,mu_r[kg/kg],mu_aA[kg/(km/h)2],W_eq[kg],F_rr[N],F_slope[N],F_air[N],F_acc[N],R[N],engine_torque[Nm],engine_power[kW],BSFC[g/kW-h],BTE,P_rr[kW],P_air[kW],P_acc[kW],P_slope[kW],vehile_power[kW]
75.125,1119.5,3.200000048,0.0,3256,-0.12916564999999972,24897.5,2675.2000401279997,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1567.9741335953909,-3390.317467627198,-396.713177281807,-65.27809057892082,-7.652796386485934,-349.57156900870024,-0.2411784623347417,29.750129312734376,32.72057132954271,-70.74933326541479,0.0,-8.278632623137709
75.20899963,1404.0,11.25,0.0,3257,0.023333230555553856,24897.5,9405.0,15,1.0,0.005836898282960136,0.028320500000000002,1497.5,1425.63015675,0.0,1571.4824964892744,615.8806205138441,3612.9932737531185,562.4351566997951,82.69289291992717,113.73407880538184,0.7412829503259833,29.783393869868775,32.83045180472592,12.866601488986072,0.0,75.48044716358076
75.34899902,1412.75,11.60000038,0.0,3258,0.0388887194444444,24897.5,9697.60031768,15,1.0,0.005836898282960136,0.028320500000000002,1497.5,1425.63015675,0.0,1577.338480745377,1026.46774973611,4029.436387231487,627.2629130887382,92.79905305385822,104.50106976901758,0.8067777074035015,29.838834801066163,33.01413212219213,21.484254852479925,0.0,84.33722177573824
75.13200378,1393.75,4.75,0.0,3259,-0.06027645555555239,24897.5,3971.0,15,1.0,0.005836898282960136,0.028320500000000002,1497.5,1425.63015675,0.0,1568.2665065147235,-1590.9970443888053,1402.8996188759181,218.38957539960154,31.874648356292514,124.58176653785947,0.6767373415261411,29.752902868284167,32.72972363764211,-33.20410998694127,0.0,29.278516518985015
75.71900177,1160.5,4.25,0.0,3260,0.16305499722222233,24897.5,3553.0000000000005,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1592.8676190458307,4279.839146602876,7298.3369223987065,1385.5281782280047,168.37946506686066,21.10114792554522,3.995476160204348,29.985358989532955,33.502873907196374,90.01809664359403,0.0,153.50632954032335
75.8690033,1161.5,0.0,0.0,3261,0.041667091666665906,24897.5,0.0,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1599.1849037570735,1093.6705594925693,4118.485619999643,781.8600235655998,95.09919492385207,0.0,inf,30.04476085195702,33.702379094571,23.04880424645961,0.0,86.79594419298765
76.01000214,1174.75,6.550000191,0.0,3262,0.03916634444444295,24897.5,5475.800159676,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1605.1344412845276,1028.031382283902,4058.79598031843,770.528445069575,94.79004895697118,57.76766886323347,1.4594518897597466,30.100597573726674,33.89063119917351,21.705740990940708,0.0,85.69696976384091
76.21099854,1177.25,10.44999981,0.0,3263,0.05583233333333561,24897.5,8736.19984116,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1613.6347123566413,1465.477353757693,4504.7422228643345,855.1876066829551,105.42866701771291,82.8636090001237,1.0174446238436887,30.180193831848396,34.16019797430703,31.023747907675173,0.0,95.3641397138306
76.74500275,1184.0,12.25,0.0,3264,0.14833450277777555,24897.5,10241.0,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1636.32714872294,3893.4581742072187,6955.415479680159,1320.4274125526115,163.7174049902218,62.552909390493056,1.3478051510466575,30.39166397229491,34.883314313511576,83.00096063515083,0.0,148.27593892095732
77.61100006,1198.5,10.89999962,0.0,3265,0.2405548083333326,24897.5,9112.39968232,16,0.82,0.005836898282960136,0.028320500000000002,1350.3257,1425.63015675,0.0,1673.4644200410376,6314.040680430222,9413.13525722126,1787.0049414031535,224.2809617538402,40.629394537380854,2.075077279625548,30.734606161406123,36.07756866783689,136.12194767436455,0.0,202.93412250360757
