VehicleSpeed[km/h],EngineFuelRate[L/h]
54.63799884,66.19999695
56.4439986,65.34999847
58.0349982,28.95000076
57.75300052,0.0
57.34900119,25.20000076
58.19600131,48.0
59.02699878,52.0
60.25900104,55.5
61.96800067,57.25
63.43599918,55.84999847
64.25500323,45.59999847
64.55799701,13.94999981
64.22399738,1.149999976
63.91800143,18.10000038
63.76899936,26.29999924
64.3209975,27.89999962
64.33000018,27.0
64.16200092,25.25
64.64800098,26.45000076
64.43700244,25.39999962
65.11700275,25.29999924
65.01800372,25.39999962
65.25500323,24.25
65.0729964,23.70000076
64.84100177,22.79999924
65.36700275,22.04999924
65.29199817,20.45000076
65.59400012,17.64999962
65.25600269,16.04999924
65.09000232,15.5
65.32800128,16.14999962
65.16399982,15.64999962
65.26699664,15.5
65.25500323,15.25
65.35700061,15.0
65.2410033,14.25
65.13000323,13.69999981
65.42200305,12.80000019
65.13000323,12.80000019
65.14999988,12.35000038
65.36399677,13.30000019
65.34200122,10.55000019
65.41999652,8.449999809
65.38100269,6.349999905
65.70300128,5.150000095
65.5460036,4.300000191
65.38999774,3.900000095
65.07700183,3.799999952
64.39500262,6.300000191
64.10700061,9.399999619
64.35200336,12.30000019
64.23799731,16.04999924
64.3700011,18.60000038
64.09200122,21.64999962
64.09799792,22.89999962
64.05100085,23.75
64.32800128,23.85000038
64.70699908,24.04999924
64.98599841,24.10000038
65.00900104,22.70000076
64.96400287,22.04999924
65.31600024,20.29999924
65.51199939,17.64999962
65.77699878,13.75
65.73599841,9.899999619
65.22099902,8.550000191
65.16499927,8.649999619
65.30100085,9.899999619
65.03400256,9.949999809
64.96999957,11.69999981
64.61499622,12.94999981
64.65599658,16.04999924
64.8000014,17.60000038
64.11399677,21.04999924
64.1959975,23.89999962
64.26299884,25.64999962
63.94800021,25.85000038
64.31600024,26.04999924
64.55399921,25.64999962
64.59899738,25.75
64.79700305,26.14999962
64.3680022,25.45000076
64.46900012,27.5
64.3660033,29.20000076
64.45400073,31.20000076
64.3209975,34.65000153
64.01800372,38.29999924
63.65699985,40.04999924
63.93200137,42.79999924
63.95200183,42.65000153
64.20500018,44.25
64.60600116,44.04999924
64.34499957,43.34999847
64.63999774,43.65000153
64.63799884,43.65000153
64.6730025,43.65000153
64.74799945,43.09999847
65.01299884,43.34999847
64.48999622,44.15000153
64.68900134,44.54999924
64.58299854,45.09999847
64.85400226,45.40000153
65.02100208,45.5
64.92999866,44.45000076
64.87699725,43.40000153
64.64500262,42.75
64.81200244,41.20000076
64.67600085,41.04999924
64.88899829,39.90000153
65.35500171,38.90000153
65.22800281,35.09999847
65.34599902,32.25
65.01800372,29.04999924
64.77699878,26.70000076
65.07199695,25.60000038
64.68500354,25.79999924
65.14199664,25.14999962
65.17600085,24.20000076
65.59999683,22.64999962
