TimeStamp,,TestSequenceNumber,TestStatus,TestStatusRun,TestStatusResult,TestTime,TestDistance,TestPhaseNo,TestPhaseTime,TestTotalPhaseTime,GPSIsUnknown,GPSAltitude,GPSLatitude,GPSLongitude,GPSSpeed,GPSCourse,GPSSatelliteId,GPSNumberOfSatellite,SystemBatteryVoltage,AmbientTemp,AmbientRelativeHumidity,AmbientPressure,ExhaustVolumeFlowRate,ExhaustVolumeFlowRate_1,ExhaustTemp_1,ExhaustPressure_1,ExhaustVolumeFlowRate_2,ExhaustTemp_2,ExhaustPressure_2,ExhaustDiffPressure_1,ExhaustDiffPressure_2,Tailpipe_Operation,Tailpipe_Sequence,Tailpipe_CO_Conc,Tailpipe_CO2_Conc,Tailpipe_H2O_Conc,Tailpipe_NO_Conc,Tailpipe_NOx_Conc,Tailpipe_NO2_Conc,OBD_Ch2,OBD_Ch3,OBD_Ch4,OBD_Ch5,OBD_Ch6,OBD_Ch7,OBD_Ch8,OBD_Ch9,OBD_Ch10,OBD_Ch11,OBD_Ch12,OBD_Ch13,OBD_Ch15,OBD_Ch14,Tailpipe_Analyzer_Temp,Tailpipe_Ambient_Temp,Tailpipe_Ambient_RelativeHumidity,Tailpipe_Ambient_AbsoluteHumidity,OBD_Ch1,OBD_Ch16,OBD_Ch17,OBD_Ch18,OBD_Ch19,OBD_Ch20,OBD_Ch21,GPSSpeed
[],[s],[],[],[],[],[],[km],[],[s],[s],[],[m],[deg],[deg],[km/h],[deg],[],[],[V],[degC],[%],[kPa],[m3/min],[m3/min],[degC],[kPa],[m3/min],[degC],[kPa],[Pa],[Pa],[],[],[vol%],[vol%],[vol%],[ppm],[ppm],[ppm],[degC],[rpm],[km/h],[degC],[g/s],[%],[kPa],[degC],[degC],[L/h],[%],[Nm],[%],[],[deg C],[deg C],[%],[%],[%],[%],[deg C],[%],[L/h],[g/s],[g/s],[km/h]
Absolute_time,Relative_time,SYS_TestSequenceNumber,SYS_TestStatus,SYS_TestRunStatus,SYS_TestResultStatus,SYS_TestTime,SYS_TestDistance,SYS_PhaseNo,SYS_PhaseTime,SYS_TotalPhaseTime,GPS_GPSStatus,GPS_Altitude,GPS_Latitude,GPS_Longitude,GPS_VehicleSpeed,GPS_Course,GPS_GPSSatelliteId,GPS_GPSNumberOfSatellite,BT_BatteryVoltage,WS_AmbientTemp,WS_AmbientRelativeHumidity,WS_AmbientPressure,PF_ExhaustFlowRate,PF_ExhaustFlowRate1,PF_ExhaustTemp1,PF_ExhaustPressure1,PF_ExhaustFlowRate2,PF_ExhaustTemp2,PF_ExhaustPressure2,PF_ExhaustDiffPressure1,PF_ExhaustDiffPressure2,GA_Operation,GA_Sequence,GA_COConc,GA_CO2Conc,GA_H2OConc,GA_NOConc,GA_NOxConc,GA_NO2Conc,OBD_EngineCoolantTemp,OBD_EngineSpeed,OBD_VehicleSpeed,OBD_IntakeAirTemp,OBD_MassAirFlowRate,OBD_CommandedEGR,OBD_BarometricPressure,OBD_AmbientAirTemp,OBD_EngineOilTemp,OBD_EngineFuelRate,OBD_ActualEnginePercentTorque,OBD_EngineReferenceTorque,OBD_NominalFrictionPercentTorque,OBD_DPF_Regeneration_Status,TailpipeAnalyzerTemp,TailpipeAmbientTemp,TailpipeAmbientRelativeHumidity,TailpipeAmbientAbsoluteHumidity,OBDCalculatedLOADValue,OBDEngineFrictionPercentTorque,OBDEngineCoolantTemp1,OBDDriversDemandEnginePercentTorque,OBDEngineFuelRate_1,OBDEngineFuelRate_2,OBDVehicleFuelRate,VehicleSpeed_Max
03/27/2025 14:10:38.8722915,18,20548,1,32,0,2054.8,0.307305333,1,18,18,2,5.5,24.06073767,120.3850187,19.37599945,179.0800018,0,11,24.32647705,33.10997772,53.14146042,102.8794708,5.557062149,5.557062149,97.8891983,101.2581024,0,0,0,293.6000061,0,5,600,0.005178913,5.630796484,2.637989759,208.7158203,171.516037,-37.5670929,83,1520.5,20,0,130.3600006,0,101,33,0,0.899999976,11,2402,11,0,41.90000153,35.60000229,47.70000076,2.722234488,17.25490189,11,83,21,0.899999976,0,0,19.37599945
03/27/2025 14:10:39.8722915,19,20558,1,32,0,2055.8,0.312487861,1,19,19,2,5.5,24.06068633,120.3850207,18.13199997,178.6499939,0,11,24.33270645,33.12714386,53.13001633,102.8922272,3.599872589,3.599872589,97.76239777,100.7822037,0,0,0,124.2000046,0,5,600,0.004656547,2.826339453,2.629945278,112.1353912,100.2352066,-12.01768684,83,1134.5,20,0,77.77999878,0,101,34,0,6.199999809,14,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,39.60784149,10,83,27,6.199999809,0,0,19.37599945
03/27/2025 14:10:40.8722915,20,20568,1,32,0,2056.8,0.317609945,1,20,20,2,5.400000095,24.06064033,120.3850218,18.3239994,179.4700012,0,10,24.32336044,33.10997772,53.11473846,102.8752136,2.870667934,2.870667934,97.63559723,100.9700012,0,0,0,76.30000305,0,5,600,0.003775586,1.776792578,2.659660339,81.14320374,64.64859009,-16.65748024,83,1158.5,19,0,71.94999695,0,101,34,0,0,0,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,0,10,83,0,0,0,0,19.37599945
03/27/2025 14:10:41.8722915,21,20578,1,32,0,2057.8,0.322613584,1,21,21,2,5.300000191,24.06059567,120.3850235,17.41399956,178.9100037,0,11,24.29220772,33.13286591,53.14146042,102.883728,2.523267746,2.523267746,97.63559723,100.9700012,0,0,0,59.09999847,0,5,600,0.004328587,2.494943945,2.734437466,138.0879211,97.44301605,-41.04623032,83,1039.75,19,0,62.95999908,0,101,34,0,0,0,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,0,9,83,0,0,0,0,19.37599945
03/27/2025 14:10:42.8722915,22,20588,1,32,0,2058.8,0.327241195,1,22,22,2,5.300000191,24.06055433,120.3850255,15.71399975,177.0200043,0,11,24.30466843,33.16719818,53.16053391,102.9049988,2.062329769,2.062329769,97.57209778,100.8352966,0,0,0,37.70000076,0,5,600,0.005245699,1.975368359,2.794759512,122.919136,97.7832489,-25.38407898,83,917.25,18,0,53.18999863,0,101,34,0,0,0,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,0,9,84,0,0,0,0,19.37599945
03/27/2025 14:10:43.8722915,23,20598,1,32,0,2059.8,0.331272445,1,23,23,2,5.400000095,24.06051817,120.3850267,13.94999981,176.7400055,0,11,24.30155373,33.15003204,53.1681633,102.8922272,4.05405426,4.05405426,97.50869751,100.9732971,0,0,0,157.5,0,5,600,0.004578875,1.4420875,2.85400629,158.9693451,101.5030746,-58.03369141,84,1113.25,16,0,112.75,0,101,34,0,3.900000095,10,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,31.76470566,10,84,0,3.900000095,0,0,19.37599945
03/27/2025 14:10:44.8722915,24,20608,1,32,0,2060.8,0.334689306,1,24,24,2,5.5,24.06048783,120.3850283,10.99699974,177.0500031,0,11,24.29220772,33.13858795,53.15290451,102.8752136,2.600524664,2.600524664,97.8891983,100.8427963,0,0,0,61.79999924,0,5,600,0.005247953,2.453357422,2.943624496,287.8234253,203.2154388,-85.44340515,84,904.5,13,0,65.76999664,0,101,34,0,0,0,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,0,9,84,0,0,0,0,19.37599945
03/27/2025 14:10:45.8722915,25,20618,1,32,0,2061.8,0.337549472,1,25,25,2,5.5,24.06046233,120.385031,9.725000381,173.2599945,0,11,24.29843903,33.17292023,53.171978,102.8922272,4.705608845,4.705608845,97.82579803,101.0407028,0,0,0,210.7000122,0,5,600,0.005803526,1.881996484,2.990386248,185.9998627,147.911499,-38.46444702,84,1048.75,12,0,116.5400009,0,101,34,0,7.849999905,20,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,70.58823395,9,84,1,7.849999905,0,0,19.37599945
03/27/2025 14:10:46.8722915,26,20628,1,32,0,2062.8,0.340310945,1,26,26,2,5.5,24.06043783,120.3850358,10.2489996,166.1900024,0,11,24.24235535,33.16719818,53.18723679,102.88797,3.357380152,3.357380152,97.82579803,100.8983994,0,0,0,102,0,5,600,0.005079541,2.1239375,3.052718639,270.4181519,184.3669739,-86.90084839,84,1112,11,0,74.77999878,0,101,34,0,9.699999809,22,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,56.07843018,10,84,22,9.699999809,0,0,19.37599945
03/27/2025 14:10:47.8722915,27,20638,1,32,0,2063.8,0.343182278,1,27,27,2,5.5,24.06041283,120.3850447,10.51099968,158.6799927,0,11,24.24547005,33.12714386,53.18342209,102.8666992,3.59521389,3.59521389,97.44529724,100.9733963,0,0,0,127.1000061,0,5,600,0.004939061,3.6469375,3.136497736,295.394165,211.8075104,-84.4119873,84,1091,11,0,74.77999878,0,101,34,0,12,27,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,71.37255096,9,84,27,12,0,0,19.37599945
