廠商名稱,污染審驗編號,國產/進口,引擎族,引擎型式,車型名稱,總重,my_數量_1_11,my_車型名稱,車種底盤別,進口國產別,核章_12月,my_數量_1_12,my_車型名稱_full
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AL7A-DBCPF  5123c.c. M6 2D  大貨車底盤,11000.0,162.0,國瑞 FD2AL7A-DBCPF 5123c.c. M6 2D,大貨車底盤,,0.0,162.0,國瑞 FD2AL7A-DBCPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AL7A-DMCPF  5123c.c. A6 2D  大貨車底盤,11000.0,119.0,國瑞 FD2AL7A-DMCPF 5123c.c. A6 2D,大貨車底盤,,0.0,119.0,國瑞 FD2AL7A-DMCPF 5123c.c. A6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AP7A-DBCPF  5123c.c. M6 2D  大貨車底盤,11000.0,72.0,國瑞 FD2AP7A-DBCPF 5123c.c. M6 2D,大貨車底盤,,0.0,72.0,國瑞 FD2AP7A-DBCPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AP7A-DMCPF  5123c.c. A6 2D  大貨車底盤,11000.0,55.0,國瑞 FD2AP7A-DMCPF 5123c.c. A6 2D,大貨車底盤,,0.0,55.0,國瑞 FD2AP7A-DMCPF 5123c.c. A6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 FG8JK8A-UGF  7685c.c. M6 2D  大貨車底盤,15500.0,56.0,國瑞 FG8JK8A-UGF 7685c.c. M6 2D,大貨車底盤,,0.0,56.0,國瑞 FG8JK8A-UGF 7685c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 FG8JP8A-UGF  7685c.c. M6 2D  大貨車底盤,15500.0,1.0,國瑞 FG8JP8A-UGF 7685c.c. M6 2D,大貨車底盤,,0.0,1.0,國瑞 FG8JP8A-UGF 7685c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720002M-1,國產,KHM08.9FZA8-C4,A09C-VN,國瑞 FR1ASSA-FDAPFAA  8866c.c. M9 2D  大貨車底盤,26000.0,0.0,國瑞 FR1ASSA-FDAPFAA 8866c.c. M9 2D,大貨車底盤,,0.0,0.0,國瑞 FR1ASSA-FDAPFAA 8866c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 FR1ESSP-DRAPFAA  12913c.c. A12 2D  大貨車底盤,26000.0,6.0,國瑞 FR1ESSP-DRAPFAA 12913c.c. A12 2D,大貨車底盤,,0.0,6.0,國瑞 FR1ESSP-DRAPFAA 12913c.c. A12 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 FR1EUSA-DRAPF1A  12913c.c. A12 2D  大貨車底盤,26000.0,126.0,國瑞 FR1EUSA-DRAPF1A 12913c.c. A12 2D,大貨車底盤,,0.0,126.0,國瑞 FR1EUSA-DRAPF1A 12913c.c. A12 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 FR1EUSP-DFAPFAA  12913c.c. M12 2D  大貨車底盤,26000.0,0.0,國瑞 FR1EUSP-DFAPFAA 12913c.c. M12 2D,大貨車底盤,,0.0,0.0,國瑞 FR1EUSP-DFAPFAA 12913c.c. M12 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 FR1EUSP-DRAPFAA  12913c.c. A12 2D  大貨車底盤,26000.0,200.0,國瑞 FR1EUSP-DRAPFAA 12913c.c. A12 2D,大貨車底盤,,0.0,200.0,國瑞 FR1EUSP-DRAPFAA 12913c.c. A12 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 FR1EUSP-DSAPFAA  12913c.c. A16 2D  大貨車底盤,26000.0,0.0,國瑞 FR1EUSP-DSAPFAA 12913c.c. A16 2D,大貨車底盤,,0.0,0.0,國瑞 FR1EUSP-DSAPFAA 12913c.c. A16 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720002M-1,國產,KHM08.9FZA8-C4,A09C-VN,國瑞 FS1AKSD-FDAPFAA  8866c.c. M9 2D  大貨車底盤,21500.0,122.0,國瑞 FS1AKSD-FDAPFAA 8866c.c. M9 2D,大貨車底盤,,0.0,122.0,國瑞 FS1AKSD-FDAPFAA 8866c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720002M-1,國產,KHM08.9FZA8-C4,A09C-VN,國瑞 FS1APSM-FDAPFAA  8866c.c. M9 2D  大貨車底盤,26000.0,14.0,國瑞 FS1APSM-FDAPFAA 8866c.c. M9 2D,大貨車底盤,,0.0,14.0,國瑞 FS1APSM-FDAPFAA 8866c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720002M-1,國產,KHM08.9FZA8-C4,A09C-VN,國瑞 FS1AVSA-FDAPFAA  8866c.c. M9 2D  大貨車底盤,28300.0,41.0,國瑞 FS1AVSA-FDAPFAA 8866c.c. M9 2D,大貨車底盤,,0.0,41.0,國瑞 FS1AVSA-FDAPFAA 8866c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BN,國瑞 FS1EPSM-DCAPFAA  12913c.c. M7 2D  大貨車底盤,26000.0,291.0,國瑞 FS1EPSM-DCAPFAA 12913c.c. M7 2D,大貨車底盤,,0.0,291.0,國瑞 FS1EPSM-DCAPFAA 12913c.c. M7 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 FS1EVSP-DRAPFAA  12913c.c. A12 2D  大貨車底盤,28300.0,29.0,國瑞 FS1EVSP-DRAPFAA 12913c.c. A12 2D,大貨車底盤,,0.0,29.0,國瑞 FS1EVSP-DRAPFAA 12913c.c. A12 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JJ8D-XGF  7685c.c. M9 2D  大貨車底盤,17000.0,0.0,國瑞 GH8JJ8D-XGF 7685c.c. M9 2D,大貨車底盤,,0.0,0.0,國瑞 GH8JJ8D-XGF 7685c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JM8A-UGF  7685c.c. M6 2D  大貨車底盤,17000.0,131.0,國瑞 GH8JM8A-UGF 7685c.c. M6 2D,大貨車底盤,,0.0,131.0,國瑞 GH8JM8A-UGF 7685c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JR8A-UGF  7685c.c. M6 2D  大貨車底盤,17000.0,143.0,國瑞 GH8JR8A-UGF 7685c.c. M6 2D,大貨車底盤,,0.0,143.0,國瑞 GH8JR8A-UGF 7685c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JR8A-XGF  7685c.c. M9 2D  大貨車底盤,17000.0,0.0,國瑞 GH8JR8A-XGF 7685c.c. M9 2D,大貨車底盤,,0.0,0.0,國瑞 GH8JR8A-XGF 7685c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JT8A-UGF  7685c.c. M6 2D  大貨車底盤,17000.0,137.0,國瑞 GH8JT8A-UGF 7685c.c. M6 2D,大貨車底盤,,0.0,137.0,國瑞 GH8JT8A-UGF 7685c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JT8A-XGF  7685c.c. M9 2D  大貨車底盤,17000.0,0.0,國瑞 GH8JT8A-XGF 7685c.c. M9 2D,大貨車底盤,,0.0,0.0,國瑞 GH8JT8A-XGF 7685c.c. M9 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720006G-1,國產,LHM07.7FZA4-C4,J08E-WS,國瑞 GH8JT8G-UGF  7685c.c. M6 2D  大貨車底盤,17000.0,28.0,國瑞 GH8JT8G-UGF 7685c.c. M6 2D,大貨車底盤,,0.0,28.0,國瑞 GH8JT8G-UGF 7685c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720007M-1,國產,KHM05.1FZB3-C4,A05C-TL,國瑞 HS2ARXL-UTF  5123c.c. A6  大客車底盤,16300.0,0.0,國瑞 HS2ARXL-UTF 5123c.c. A6,大客車底盤,,0.0,0.0,國瑞 HS2ARXL-UTF 5123c.c. A6 大客車底盤
國瑞汽車股份有限公司,C3D720002M-1,國產,KHM05.1FZB3-C3,A05C-TL,國瑞 RK2ARXA-PJF  5123c.c. M6  大客車底盤,14500.0,30.0,國瑞 RK2ARXA-PJF 5123c.c. M6,大客車底盤,國產,16.0,46.0,國瑞 RK2ARXA-PJF 5123c.c. M6 大客車底盤
國瑞汽車股份有限公司,C2D720003M-1,國產,KHM08.9FZA8-C2,A09C-VN,國瑞 RM1ASXU-VSF  8866c.c. A6  大客車底盤,18000.0,11.0,國瑞 RM1ASXU-VSF 8866c.c. A6,大客車底盤,國產,17.0,28.0,國瑞 RM1ASXU-VSF 8866c.c. A6 大客車底盤
國瑞汽車股份有限公司,C1D720009M-1,國產,KHM08.9FZA8-C1,A09C-VN,國瑞 RM1ASXU-ZSF  8866c.c. M6  大客車底盤,17000.0,4.0,國瑞 RM1ASXU-ZSF 8866c.c. M6,大客車底盤,,0.0,4.0,國瑞 RM1ASXU-ZSF 8866c.c. M6 大客車底盤
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BP,國瑞 SH1EESA-CCAPEAA  12913c.c. M7 2D  曳引車,19500.0,0.0,國瑞 SH1EESA-CCAPEAA 12913c.c. M7 2D,曳引車,,0.0,0.0,國瑞 SH1EESA-CCAPEAA 12913c.c. M7 2D 曳引車
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 SH1EESA-DFAPEAA  12913c.c. M12 2D  曳引車,19500.0,0.0,國瑞 SH1EESA-DFAPEAA 12913c.c. M12 2D,曳引車,,0.0,0.0,國瑞 SH1EESA-DFAPEAA 12913c.c. M12 2D 曳引車
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 SH1EESA-DRAPE1A  12913c.c. A12 2D  曳引車,19500.0,17.0,國瑞 SH1EESA-DRAPE1A 12913c.c. A12 2D,曳引車,,0.0,17.0,國瑞 SH1EESA-DRAPE1A 12913c.c. A12 2D 曳引車
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 SH1EESA-DRAPEAA  12913c.c. A12 2D  曳引車,19500.0,41.0,國瑞 SH1EESA-DRAPEAA 12913c.c. A12 2D,曳引車,,0.0,41.0,國瑞 SH1EESA-DRAPEAA 12913c.c. A12 2D 曳引車
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 SH1EESA-DSAPEAA  12913c.c. A16 2D  曳引車,19500.0,0.0,國瑞 SH1EESA-DSAPEAA 12913c.c. A16 2D,曳引車,,0.0,0.0,國瑞 SH1EESA-DSAPEAA 12913c.c. A16 2D 曳引車
國瑞汽車股份有限公司,C4D720005M-1,國產,LHM12.9FZA0-C4,E13C-BM,國瑞 SH1EESG-DRAPEAA  12913c.c. A12 2D  曳引車,19500.0,68.0,國瑞 SH1EESG-DRAPEAA 12913c.c. A12 2D,曳引車,,0.0,68.0,國瑞 SH1EESG-DRAPEAA 12913c.c. A12 2D 曳引車
國瑞汽車股份有限公司,C4D720004M-1,國產,MHM04.0FZA1-C4,N04C-WR,國瑞 XKU710L-WCVQVR3  4009c.c. A6 2D HYBRID 大貨車底盤,6500.0,6.0,國瑞 XKU710L-WCVQVR3 4009c.c. A6 2D HYBRID,大貨車底盤,,0.0,6.0,國瑞 XKU710L-WCVQVR3 4009c.c. A6 2D HYBRID 大貨車底盤
國瑞汽車股份有限公司,C4D720004M-1,國產,MHM04.0FZA1-C4,N04C-WR,國瑞 XKU710L-WCVSVR3  4009c.c. A6 2D HYBRID 大貨車底盤,8000.0,0.0,國瑞 XKU710L-WCVSVR3 4009c.c. A6 2D HYBRID,大貨車底盤,,0.0,0.0,國瑞 XKU710L-WCVSVR3 4009c.c. A6 2D HYBRID 大貨車底盤
國瑞汽車股份有限公司,C4D720004M-1,國產,MHM04.0FZA1-C4,N04C-WR,國瑞 XKU710L-WCVTVR3  4009c.c. A6 2D HYBRID 大貨車底盤,8500.0,0.0,國瑞 XKU710L-WCVTVR3 4009c.c. A6 2D HYBRID,大貨車底盤,,0.0,0.0,國瑞 XKU710L-WCVTVR3 4009c.c. A6 2D HYBRID 大貨車底盤
