time[s],VehicleWeight[ton],VehicleSpeed[km/h],EngineSpeed[rpm],grad[%]
247,22.5,43.97600174,1008.75,0
248,22.5,43.7859993,1009,-0.820403737
249,22.5,44.22999954,1008.5,-0.818036204
250,22.5,44.38199997,1013.75,0
251,22.5,44.77999878,1012,1.615043956
252,22.5,44.1609993,1014,0
253,22.5,44.29600143,1010.5,0
254,22.5,43.91199875,1009.25,-1.632511188
255,22.5,44.15599823,1010.75,-0.817545443
256,22.5,44.15399933,1007,-0.815312825
257,22.5,44.24900055,1011.25,-0.814447357
258,22.5,44.30599976,1010.25,-0.813057121
259,22.5,44.24499893,1010.25,-0.813093863
260,22.5,44.42499924,1010.75,-0.811994937
261,22.5,44.38600159,1010.75,-0.810713458
262,22.5,44.25899887,1010.75,0.812231634
263,22.5,44.22399902,1012.75,-0.813718741
264,22.5,44.06800079,1012.75,1.630950296
265,22.5,44.34899902,1009,0
266,22.5,44.09899902,1007,-0.814033005
267,22.5,44.15200043,1012.5,-0.815857883
268,22.5,44.0719986,1010.25,0
269,22.5,44.11299896,1009.25,-1.632929264
270,22.5,44.27199936,1009.5,-0.814620976
271,22.5,44.31600189,1013.5,0
272,22.5,44.53099823,1008.5,-0.810377272
273,22.5,44.12400055,1013.5,0.812132317
274,22.5,44.09700012,1012.25,0
275,22.5,44.04600143,1008.75,-1.633707279
276,22.5,44.42900085,1009.75,-0.813784546
277,22.5,44.07600021,1009,-0.813516442
278,22.5,44.2120018,1009.5,-0.815515947
279,22.5,44.07400131,1007.5,-1.631061076
280,22.5,44.14300156,1008.75,-0.81616454
281,22.5,44.21099854,1013.75,-0.814906779
282,22.5,44.31499863,1012.25,0
283,22.5,44.48099899,1014.5,0
284,22.5,44.25099945,1011.25,0
285,22.5,44.10699844,1006.5,2.444601982
286,22.5,43.65499878,992.75,0.820395979
287,22.5,44.21099854,1010.25,-0.81942494
288,22.5,44.23899841,1019.5,-0.814022341
289,22.5,44.39599991,1012.75,0
290,22.5,44.56600189,1013.75,0
291,22.5,44.26399994,1010,-0.810532344
292,22.5,44.2140007,1008.5,0
293,22.5,44.16199875,1005.5,-1.629407849
294,22.5,44.0320015,1004.5,-1.632762578
295,22.5,44.29299927,1004,0
296,22.5,43.76599884,1003,1.635265746
297,22.5,43.91999817,1002.5,-0.821107042
298,22.5,43.98600006,1010.25,-0.819059849
299,22.5,44.18099976,1003.75,-1.633262598
300,22.5,44.4129982,1011.25,0
301,22.5,44.39400101,1012,-0.810749989
302,22.5,44.02000046,1011.25,0
303,22.5,44.13800049,1011,0.816718537
304,22.5,44.39599991,1011.5,0
305,22.5,44.35300064,1008.75,-0.811279825
306,22.5,44.33800125,1009.75,-3.24722599
307,22.5,44.25600052,1006.75,-0.812699191
308,22.5,43.92499924,1010.25,-1.633003295
309,22.5,44.2179985,1007.5,-0.816849795
310,22.5,43.95399857,1009.5,-0.816588894
311,22.5,43.98799896,1007.75,-0.818724564
312,22.5,44.25699997,1013.25,-1.631818969
313,22.5,44.39500046,1010.5,0
314,22.5,44.53699875,988.5,0
315,22.5,42.90999985,972.25,-0.823351181
316,22.5,41.04000092,924.5,-1.715313241
317,22.5,38.55500031,870.25,-0.904574245
318,22.5,35.62799835,1144,-0.970576498
319,22.5,32.2480011,1063.5,-1.060751794
320,22.5,29.12400055,958,-1.173177872
321,22.5,26.03199959,970.75,1.305393323
322,22.5,22.125,1060.25,2.990216675
323,22.5,17.52000046,842,3.632232584
324,22.5,13.01799965,829.5,9.430864017
325,22.5,8.664999962,729.75,9.961727651
326,22.5,5.164000034,452.75,5.206469999
327,22.5,2.088999987,510.5,0
328,22.5,0.133000001,495.75,0
329,22.5,0.189999998,497,0
330,22.5,0.057,499.25,0
331,22.5,0.054000001,499.5,0
332,22.5,0.127000004,499.5,0
333,22.5,0.078000002,498.75,0
334,22.5,0.149000004,499,0
335,22.5,0.079000004,499,0
336,22.5,0.177000001,500.75,0
337,22.5,0.066,501,0
338,22.5,0.149000004,501.25,0
339,22.5,0.093000002,501,0
340,22.5,0.057999998,499.75,0
341,22.5,0.052000001,499.25,0
342,22.5,0.028000001,498.75,0
343,22.5,0.028000001,499.25,0
344,22.5,0.096000001,499,0
345,22.5,0.059,501,0
346,22.5,0.268000007,501.25,0
347,22.5,0.136000007,500.5,0
348,22.5,0.219999999,500.5,0
349,22.5,0.195999995,509.5,0
350,22.5,0.416000009,577.75,0
351,22.5,3.260999918,677.5,0
352,22.5,7.30700016,996,0
353,22.5,11.21000004,1449.5,0
354,22.5,13.83899975,1734.25,0
355,22.5,13.00699997,1444.5,0
356,22.5,12.30200005,916,-2.844821587
357,22.5,14.04199982,1079.25,2.733054584
358,22.5,17.28199959,1265,11.4927853
359,22.5,19.57699966,1445.25,1.953397408
360,22.5,22.66200066,1588.5,-1.704592274
361,22.5,22.77799988,1733.5,-1.584497992
362,22.5,25.11300087,1807.5,-3.006825102
363,22.5,25.41799927,1200.75,-1.424873313
364,22.5,25.43700027,1063.75,0
365,22.5,27.34199905,1143.75,0
366,22.5,30.03499985,1252,-1.254863011
367,22.5,32.69400024,1356,-2.295586778
368,22.5,35.06600189,1447.25,-1.0625677
369,22.5,36.88600159,1527,-1.000670866
370,22.5,38.30500031,1579,0
371,22.5,38.47000122,1348,0
372,22.5,38.14199829,1080.5,0
373,22.5,39.37400055,1096.25,0
374,22.5,40.4129982,1125,-0.90240609
375,22.5,41.5530014,1158.5,-0.878407998
376,22.5,42.55400085,1188,-0.85605564
377,22.5,42.88999939,1208.75,-0.842652373
378,22.5,43.78499985,1225.5,0
379,22.5,44.30899811,1235,-0.817311908
380,22.5,43.70199966,1028.75,0
381,22.5,43.38499832,992.25,-0.826762617
382,22.5,43.15299988,977.75,-0.831999696
383,22.5,42.3769989,964,-0.841813119
384,22.5,42.47999954,975.25,-0.848481439
385,22.5,42.73199844,983.5,-1.689909309
386,22.5,43.14899826,994.5,0
387,22.5,43.54800034,1004.5,0.830481741
388,22.5,44.15299988,1005,-0.82097438
389,22.5,43.91799927,1010.75,0
390,22.5,44.32799911,1013.75,-0.815896352
391,22.5,44.16500092,1021,0.813619022
392,22.5,44.75,1009.75,0.809765209
393,22.5,44.10900116,1015.25,-1.620543339
394,22.5,44.65100098,1016.25,0
395,22.5,44.49100113,1008.75,0
396,22.5,44.12799835,1010,-0.812469961
397,22.5,44.02700043,1009.75,-0.816738576
398,22.5,44.66799927,1010,0
399,22.5,44.02500153,1011.25,-0.811792066
400,22.5,44.25799942,1014.75,0
401,22.5,44.54100037,1015,0
